iter	Passed	Remaining
423	1888	2565
424	1892	2561
425	1897	2556
426	1901	2551
427	1905	2547
428	1909	2542
429	1914	2537
430	1918	2532
431	1922	2527
432	1926	2523
433	1930	2518
434	1934	2513
435	1939	2508
436	1943	2503
437	1946	2498
438	1950	2493
439	1954	2487
440	1959	2483
441	1963	2478
442	1967	2473
443	1971	2468
444	1975	2463
445	1979	2458
446	1983	2453
447	1986	2448
448	1990	2442
449	1994	2437
450	1999	2433
451	2003	2428
452	2007	2423
453	2011	2418
454	2014	2413
455	2018	2408
456	2022	2403
457	2026	2398
458	2030	2393
459	2034	2387
460	2038	2383
461	2042	2377
462	2045	2372
463	2049	2367
464	2053	2362
465	2057	2357
466	2061	2352
467	2065	2347
468	2069	2342
469	2072	2337
470	2077	2332
471	2080	2327
472	2084	2322
473	2088	2317
474	2092	2312
475	2096	2308
476	2100	2302
477	2104	2297
478	2108	2292
479	2111	2287
480	2115	2283
481	2119	2278
482	2123	2272
483	2127	2267
484	2130	2262
485	2134	2257
486	2138	2252
487	2142	2247
488	2146	2242
489	2149	2237
490	2153	2232
491	2157	2227
492	2161	2222
493	2165	2217
494	2169	2212
495	2172	2208
496	2177	2203
497	2180	2198
498	2184	2193
499	2188	2188
500	2192	2183
501	2196	2178
502	2200	2173
503	2203	2168
504	2207	2164
505	2211	2159
506	2215	2154
507	2219	2149
508	2223	2144
509	2227	2140
510	2231	2135
511	2235	2130
512	2239	2125
513	2242	2120
514	2246	2115
515	2250	2110
516	2254	2106
517	2258	2101
518	2262	2096
519	2266	2092
520	2270	2087
521	2283	2090
522	2286	2085
523	2290	2080
524	2294	2076
525	2298	2071
526	2302	2066
527	2306	2061
528	2310	2057
529	2314	2052
530	2317	2047
531	2321	2042
532	2325	2037
533	2329	2032
534	2333	2028
535	2337	2023
536	2341	2018
537	2344	2013
538	2348	2008
539	2352	2004
540	2356	1999
541	2360	1994
542	2364	1989
543	2367	1984
544	2371	1980
545	2375	1975
546	2379	1970
547	2383	1965
548	2386	1960
549	2390	1956
550	2394	1951
551	2398	1946
552	2402	1942
553	2406	1937
554	2410	1932
555	2414	1927
556	2418	1923
557	2421	1918
558	2425	1913
559	2429	1908
560	2433	1904
561	2437	1899
562	2441	1894
563	2445	1890
564	2448	1885
565	2452	1880
566	2456	1875
567	2460	1871
568	2464	1866
569	2467	1861
570	2472	1857
571	2476	1852
572	2480	1848
573	2484	1843
574	2488	1839
575	2492	1834
576	2496	1829
577	2500	1825
578	2505	1821
579	2509	1817
580	2513	1812
581	2517	1807
582	2521	1803
583	2525	1798
584	2528	1794
585	2532	1789
586	2536	1784
587	2540	1780
588	2544	1775
589	2548	1770
590	2552	1766
591	2555	1761
592	2559	1756
593	2563	1752
594	2567	1747
595	2571	1742
596	2574	1738
597	2578	1733
598	2582	1728
599	2586	1724
600	2590	1719
601	2594	1715
602	2598	1710
603	2602	1705
604	2605	1701
605	2609	1696
606	2613	1692
607	2617	1687
608	2621	1682
609	2625	1678
610	2628	1673
611	2632	1669
612	2636	1664
613	2640	1660
614	2644	1655
615	2648	1650
616	2652	1646
617	2655	1641
618	2659	1636
619	2663	1632
620	2667	1627
621	2670	1623
622	2674	1618
623	2678	1614
624	2682	1609
625	2686	1605
626	2690	1600
