iter	Logloss
0	0.6776982469
1	0.6632702423
2	0.6493866046
3	0.6366875733
4	0.6243740267
5	0.6131309544
6	0.602343735
7	0.5922125148
8	0.5836306364
9	0.5742811482
10	0.5658150849
11	0.5573252426
12	0.5494635141
13	0.5428155882
14	0.5358707378
15	0.5295399566
16	0.5246180622
17	0.5190421286
18	0.5136560876
19	0.508691552
20	0.503897113
21	0.4995258799
22	0.495831478
23	0.4917906501
24	0.4876855498
25	0.4841006878
26	0.4804151354
27	0.4769487394
28	0.4741953232
29	0.4708738806
30	0.4680939756
31	0.4657193137
32	0.4629421615
33	0.4604387801
34	0.4580894201
35	0.4557354989
36	0.4535010199
37	0.4515328538
38	0.4493875417
39	0.4472547179
40	0.445046835
41	0.4436413949
42	0.4418897108
43	0.4402017336
44	0.4385797778
45	0.4370666719
46	0.4357343618
47	0.4345027994
48	0.4332150915
49	0.4320446555
50	0.4306034795
51	0.4296562926
52	0.4285282902
53	0.4274364908
54	0.4265399339
55	0.4254663573
56	0.4245532559
57	0.4238777039
58	0.4227555809
59	0.422008042
60	0.4210443756
61	0.4200923065
62	0.4193701793
63	0.4186014931
64	0.4177114411
65	0.4168758771
66	0.4161966933
67	0.4153240504
68	0.4145747005
69	0.4140212108
70	0.413337988
71	0.4125716622
72	0.4120503976
73	0.411509342
74	0.4108845645
75	0.4104592594
76	0.4098727937
77	0.4093889374
78	0.4088645687
79	0.4082093633
80	0.4076496845
81	0.4071974689
82	0.4066592773
83	0.4061505147
84	0.4056312566
85	0.4053645058
86	0.4049444378
87	0.4044366638
88	0.40386428
89	0.4034515688
90	0.4029791438
91	0.4025436238
92	0.4021399602
93	0.4015671912
94	0.4012077716
95	0.4008774119
96	0.4004708927
97	0.4000349258
98	0.3996509434
99	0.3992281368
100	0.3989289575
101	0.3984761167
102	0.3979831353
103	0.3976329948
104	0.3972715402
105	0.3969617067
106	0.3966915786
107	0.3963769744
108	0.3960504141
109	0.3958243262
110	0.3954663275
111	0.3952215969
112	0.3948902225
113	0.3945513627
114	0.3943508862
115	0.3940591651
116	0.3937327388
117	0.3934885569
118	0.3932057344
119	0.3929048988
120	0.3926909316
121	0.3924316214
122	0.392226583
123	0.3918915647
124	0.3916995433
125	0.391373403
126	0.3910441411
127	0.3907240084
128	0.3905428686
129	0.3904243483
130	0.3901646674
131	0.389951836
132	0.3896622526
133	0.3894504058
134	0.3891549076
135	0.3889226009
136	0.3886617568
137	0.3884426243
138	0.3882051396
139	0.3880255943
140	0.3878766825
141	0.3876670789
142	0.3875224239
143	0.3873471324
144	0.3871065349
145	0.3868790855
146	0.3866370813
147	0.3864158789
148	0.3862561071
149	0.3859583808
150	0.38574798
151	0.3856335583
152	0.3853467674
153	0.3852161039
154	0.3851166289
155	0.384891666
156	0.3846197273
157	0.3844265374
158	0.3842676994
159	0.3840981616
160	0.3838577996
161	0.3836719113
162	0.3834095341
163	0.3832736216
164	0.3831207817
165	0.3829085029
166	0.3827223993
167	0.3825618137
168	0.3824180062
169	0.3822990364
170	0.3820970508
171	0.3819355244
172	0.3817684107
173	0.3816231151
174	0.3814542013
175	0.381356723
176	0.3811018892
177	0.3810156174
178	0.3807986268
179	0.3806605387
180	0.3805467465
181	0.3803974201
182	0.3802664948
183	0.3800453426
184	0.3798745545
185	0.3797526637
186	0.3795719801
187	0.3793582154
188	0.3792490422
189	0.379093546
190	0.378883475
191	0.3787336119
192	0.3785900577
193	0.3784841086
194	0.3782746265
195	0.3781229846
196	0.3779612751
197	0.3777724763
198	0.3775958043
199	0.3774878851
200	0.3772446632
201	0.3770292413
202	0.3768312425
203	0.3767125081
204	0.3765552213
205	0.3763945678
206	0.3762264963
207	0.3761128571
208	0.3759782448
209	0.3758606652
210	0.3757740668
211	0.3755511282
212	0.3754925134
213	0.3753856716
214	0.3752508589
215	0.3751660618
216	0.3749943102
217	0.3748879976
218	0.3747807382
219	0.3746798981
220	0.3745971115
221	0.374478915
222	0.3744240387
223	0.374265718
224	0.3741171195
225	0.3739715841
226	0.3738884089
227	0.3737490231
228	0.3736214979
229	0.3734101962
230	0.3733259757
231	0.3733091688
232	0.3731485996
233	0.3730627416
234	0.3729027259
235	0.3728292018
236	0.3726745597
237	0.372529687
238	0.372449313
239	0.3723901783
240	0.3722238349
241	0.3720077677
242	0.3718563953
243	0.3717083133
244	0.3715745154
